                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20241210"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                           log_L_div_Ledd                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                        center_degeneracy                             center_gamma                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      848                  2.6124840922861145E+004                  4.4170536546584804E+000                  3.9999995056063837E+000                  3.3900565848010523E+001                 -1.0722980800626864E+001                  8.8235004352956781E-001                  2.1792997505612571E-001                  7.8171994540935845E-008                  9.9999975054449552E-001                  9.9999952053391350E-001                  2.7335306978599083E-001                  7.8171994540935845E-008                  9.9999977514233984E-001                  9.9999948738850497E-001                  2.4140051813117043E+000                 -3.8866371151672745E+001                 -1.3245319809215172E+001                  2.4140051813117043E+000                  9.5281706895164375E-001                  2.3987219421565977E+000                 -3.8866371151672745E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.3170187940760912E+032                  1.2871228980206228E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0822258071292117E+000                  2.3950848068649795E+000                  5.5574395003856292E-001                  3.9286396648758615E+000                 -1.2630033502111955E+000                  0.0000000000000000E+000                  7.3213345936228587E+000                  1.0402873034359823E+000                  1.6439459014343640E+001                  1.6439459014343640E+001                  1.0402873034359823E+000                  7.3213345936228587E+000                 -4.5138792795321789E+000                  3.4080941172963002E-002                  7.0661065728966377E-001                  7.7483422009635672E-001                  1.5408795295890181E+000                  5.4971214197456719E-001                  3.7997986015615487E-001                  1.0325664123030924E-002                  3.2751705832940951E-002                  1.2064091762751526E-002                  3.2752138638270596E-002                  2.1996998380075552E+000                  1.5198593200614243E+000                                        0                                        5 
                                      10                                      865                  6.7816644074312109E+005                  5.1296848690871037E+000                  3.9999909811625582E+000                  3.3900564922479695E+001                 -1.0840486396740829E+001                  7.8702027715877954E-001                  1.9666726459653144E-001                  7.8172160329522370E-008                  9.9999981287607209E-001                  9.9999968702129605E-001                  2.4734949927705394E-001                  7.8172160329522370E-008                  9.9999982510717400E-001                  9.9999966305677424E-001                  2.3360444474221831E+000                 -3.6776768725636636E+001                 -1.2944289813551190E+001                  2.3360444474221835E+000                  6.7343423711122874E-001                  2.3264958484710587E+000                 -3.6776768725636636E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7632614366503192E+032                  1.2503006858210950E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1122670430279973E+000                  2.4138601153951229E+000                  5.0504913250606387E-001                  4.0300283744100298E+000                 -1.2297360693361163E+000                  0.0000000000000000E+000                  7.3636785597987400E+000                  1.1618245327844987E+000                  1.6604723915711663E+001                  1.6604723915711663E+001                  1.1618245327844987E+000                  7.3636785597987400E+000                 -4.3772629245440706E+000                  3.4107142765746369E-002                  7.0469402197575104E-001                  7.7401840642618513E-001                  1.5446909467314363E+000                  5.4808577816474446E-001                  3.8010111800883606E-001                  1.1925619060073269E-003                  3.2741408599525144E-002                  1.2064091762751521E-002                  3.2752138638270555E-002                  2.1980937802369249E+000                  1.5199761046322087E+000                                        0                                        5 
                                      20                                      896                  3.0222217717045001E+006                  5.6545131011538157E+000                  3.9999460291202777E+000                  3.3900560041835284E+001                 -1.0720439751883820E+001                  8.0822595160116406E-001                  2.0157262395685871E-001                  7.8173039936743878E-008                  9.9999990618368928E-001                  9.9999982690260536E-001                  2.5386820907111507E-001                  7.8173039936743878E-008                  9.9999991205900551E-001                  9.9999981325129028E-001                  2.4242627426526657E+000                 -3.4932069234582094E+001                 -9.8999999999999986E+001                  2.4242627426526657E+000                  8.5831511113139403E-001                  2.4123007383620849E+000                 -3.4932069234582094E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2506736568377578E+032                  1.3186546346748742E+033                  2.0558096524011241E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.4886623924999052E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1385172807975863E+000                  2.4240215005506642E+000                  4.5762934954465656E-001                  4.1248630596884377E+000                 -1.2045856615000754E+000                  0.0000000000000000E+000                  7.4019002077248004E+000                  1.2614122409657638E+000                  1.6741400509776582E+001                  1.6741400509776582E+001                  1.2614122409657638E+000                  7.4019002077248004E+000                 -4.2823872605905695E+000                  3.3868177779790350E-002                  7.0716259571428974E-001                  7.7111050885834675E-001                  1.5552306737814769E+000                  5.4227049248063197E-001                  3.8581527565125784E-001                  1.3810201801888410E-004                  3.2156713446523717E-002                  1.2064091762751519E-002                  3.2752138638270568E-002                  2.1917691110238091E+000                  1.5256739483939155E+000                                        0                                       10 
                                      30                                      889                  1.7081951987484116E+007                  6.4463255616300641E+000                  3.9996685233999600E+000                  3.3900529910582769E+001                 -1.0689899200768169E+001                  8.5032090152714768E-001                  2.1140226196707038E-001                  7.8178462922064246E-008                  9.9999989931512900E-001                  9.9999981038317198E-001                  2.6689312812709004E-001                  7.8178462922064246E-008                  9.9999990753499002E-001                  9.9999979470315947E-001                  2.4444248836316471E+000                 -3.4769163914341682E+001                 -1.2643259817887209E+001                  2.4444248836316476E+000                  7.9685453508744719E-001                  2.4345359595521590E+000                 -3.4769163914341682E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4766232958641641E+032                  1.3216575866028158E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1337731698816809E+000                  2.4440296340577556E+000                  4.7712163813001124E-001                  4.0858483512652066E+000                 -1.1988103304448368E+000                  0.0000000000000000E+000                  7.4036989634796662E+000                  1.2532343874876846E+000                  1.6721745062323386E+001                  1.6721745062323386E+001                  1.2532343874876846E+000                  7.4036989634796662E+000                 -4.3309174691308074E+000                  3.4399475176237697E-002                  7.2995762609847314E-001                  7.5340696014052499E-001                  1.6219664240332596E+000                  5.0686345342478090E-001                  4.2162022769076413E-001                  1.5915563798233988E-004                  2.9002881992246050E-002                  1.2064091762751521E-002                  3.2752138638270596E-002                  2.1526719370561791E+000                  1.5642961260301445E+000                                        0                                       10 
                                      40                                      872                  5.3872957083697826E+007                  6.4955298078727246E+000                  3.9987862131062570E+000                  3.3900434096452145E+001                 -1.0557415667788101E+001                  7.8122089319846921E-001                  1.9509166008573711E-001                  7.8195712386521365E-008                  9.9999985036261174E-001                  9.9999966566476739E-001                  2.4415928988961061E-001                  7.8195712386521365E-008                  9.9999986336068847E-001                  9.9999963850566487E-001                  2.5134790582459354E+000                 -3.4198286939051258E+001                 -9.8999999999999986E+001                  2.5134790582459354E+000                  5.9325345295018195E-001                  2.5082287936171093E+000                 -3.4198286939051258E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8711674152519733E+032                  1.2719446538855339E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1181197579378646E+000                  2.5130788017790779E+000                  5.4295304587830628E-001                  3.9540897216379980E+000                 -1.1747190094571553E+000                  0.0000000000000000E+000                  7.4114537190203063E+000                  1.2452935091076534E+000                  1.6677060103427518E+001                  1.6677060103427518E+001                  1.2452935091076534E+000                  7.4114537190203063E+000                 -4.4528505916941477E+000                  3.6868027691754478E-002                  8.1170484238912732E-001                  6.9813459542539480E-001                  1.8732193373977482E+000                  3.9631887548848937E-001                  5.3301810759312929E-001                  2.0983061389349939E-004                  2.2247668753434858E-002                  1.2064091762751521E-002                  3.2752138638270589E-002                  2.0392027302092637E+000                  1.6775080111320551E+000                                        0                                       10 
                                      50                                      854                  8.1120659009968400E+007                  6.3844218265203176E+000                  3.9979105838679931E+000                  3.3900338986944419E+001                 -1.0441235545966240E+001                  6.9953123890986169E-001                  1.7231777690477618E-001                  7.8212839792373208E-008                  9.9999975443236633E-001                  9.9999938104739539E-001                  2.1476941762129248E-001                  7.8212839792373208E-008                  9.9999978063876982E-001                  9.9999931406500919E-001                  2.5742361040308053E+000                 -3.3516537436579938E+001                 -9.8999999999999986E+001                  2.5742361040308053E+000                  3.5509478275113510E-001                  2.5716060944462500E+000                 -3.3516537436579938E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0849601754495400E+032                  1.1993200699687182E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0992274988819659E+000                  2.5737769390885337E+000                  6.1108663264483065E-001                  3.8177274385972249E+000                 -1.1598123633930513E+000                  0.0000000000000000E+000                  7.4226131502776367E+000                  1.2537621957905782E+000                  1.6649109643677271E+001                  1.6649109643677271E+001                  1.2537621957905782E+000                  7.4226131502776367E+000                 -4.5515274031793691E+000                  4.0391683682496446E-002                  9.0952523193542567E-001                  6.4507877665676450E-001                  2.2007238708013026E+000                  2.9020731661626781E-001                  6.3968717097986905E-001                  2.4958913849453641E-004                  1.7842424908244947E-002                  1.2064091762751517E-002                  3.2752138638270555E-002                  1.9417918047275229E+000                  1.7745451910438685E+000                                        0                                       10 
                                      60                                      861                  1.0215139388592945E+008                  6.2699817620083707E+000                  3.9970492431421700E+000                  3.3900245409106937E+001                 -1.0329851573954352E+001                  6.0741192412142742E-001                  1.5134362603403748E-001                  7.8229692928582474E-008                  9.9999956254434708E-001                  9.9999878886556937E-001                  1.8864147355690117E-001                  7.8229692928582474E-008                  9.9999962450135771E-001                  9.9999863993413407E-001                  2.6265911757563258E+000                 -3.2645182233809471E+001                 -9.8999999999999986E+001                  2.6265911757563258E+000                  4.3933475192464655E-002                  2.6254543473918699E+000                 -3.2645182233809471E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1353724145991453E+032                  1.1022953265103228E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0744982056866652E+000                  2.6260464946963458E+000                  6.8667999683933900E-001                  3.6664471323707191E+000                 -1.1463570165431294E+000                  0.0000000000000000E+000                  7.4378077932321567E+000                  1.2804202040885171E+000                  1.6637234177417099E+001                  1.6637234177417099E+001                  1.2804202040885171E+000                  7.4378077932321567E+000                 -4.6292222636126903E+000                  4.5765820638061526E-002                  1.0345013206954712E+000                  5.9190633364423773E-001                  2.6684955602615457E+000                  1.8386246334940626E-001                  7.4645489287833366E-001                  2.8810180644179531E-004                  1.4511612275948863E-002                  1.2064091762751528E-002                  3.2752138638270610E-002                  1.8562326797467177E+000                  1.8596152455755754E+000                                        0                                       10 
                                      70                                      881                  1.1815371500680056E+008                  6.1451958468652368E+000                  3.9959116911805395E+000                  3.3900121792202711E+001                 -1.0013556387169043E+001                  4.9763778158573746E-001                  1.2435215714383797E-001                  7.8251962951764719E-008                  9.9999917141986416E-001                  9.9999753881239539E-001                  1.5299556712970391E-001                  7.8251962951764719E-008                  9.9999928714011399E-001                  9.9999719958646405E-001                  2.6707167193871229E+000                 -3.1179409382354297E+001                 -9.8999999999999986E+001                  2.6707167193871229E+000                 -3.7696755051526221E-001                  2.6703274101740804E+000                 -3.1179409382354297E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0222106416959985E+032                  9.8158099157214018E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  6.3712107668758766E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0450971606045387E+000                  2.6701936872149754E+000                  7.6755568326290635E-001                  3.5045721426193586E+000                 -1.1405112876811254E+000                  0.0000000000000000E+000                  7.4630606139403657E+000                  1.3449636921592234E+000                  1.6664843142796919E+001                  1.6664843142796919E+001                  1.3449636921592234E+000                  7.4630606139403657E+000                 -4.6634625246536840E+000                  5.4568327258600544E-002                  1.2010254335444746E+000                  5.3826093470974323E-001                  3.3971903198785331E+000                  7.6571675025310149E-002                  8.5408972904664082E-001                  3.3596791355245499E-004                  1.1823200346648400E-002                  1.2064091762751517E-002                  3.2752138638270548E-002                  1.7834490342983091E+000                  1.9315577083268323E+000                                        0                                       10 
                                      80                                      899                  1.2539284310525340E+008                  5.3875031844234247E+000                  3.9950721508816045E+000                  3.3900030537426645E+001                 -9.9107953553591184E+000                  3.8659584001819708E-001                  9.6632008840951911E-002                  7.8268407016842791E-008                  9.9999902667564111E-001                  9.9999682567893267E-001                  1.2124873510997755E-001                  7.8268407016842791E-008                  9.9999917837730989E-001                  9.9999638744565500E-001                  2.7159997761124703E+000                 -2.8176922002537815E+001                 -1.2467168558831528E+001                  2.7159997761124708E+000                 -3.6946628565011591E-001                  2.7156429171020613E+000                 -2.8176922002537815E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0086376004704961E+032                  9.2971201565087482E+032                  1.0079916772061199E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.1772081456491646E+033                  6.3712107668759010E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0484192220518986E+000                  2.7194486709355594E+000                  7.8553905222847953E-001                  3.4685141499121519E+000                 -1.1145091665162969E+000                  0.0000000000000000E+000                  7.5119712561853236E+000                  1.4880028135282741E+000                  1.6813915376109648E+001                  1.6813915376109648E+001                  1.4880028135282741E+000                  7.5119712561853236E+000                 -4.5664594374247285E+000                  6.2936752289241643E-002                  1.3316872667686699E+000                  5.0556341686911921E-001                  4.0755834878724215E+000                  1.1176640191741003E-002                  9.1968083209143403E-001                  4.0845088364024321E-004                  1.0351318885585397E-002                  1.2064091762751529E-002                  3.2752138638270624E-002                  1.7472794674546026E+000                  1.9670482777113543E+000                                        0                                       10 
