                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20241208"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      576                  1.0000000000000001E-005                 -4.9999999999999991E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999993888900029E-001                  3.3198159368117847E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999993888900029E-001                  3.3198159368117847E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.0148787418310389E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0148787418310389E+001                 -1.0148787418310389E+001                 -3.0868294771183507E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6875904246369253E+000                  2.2769407654613745E+000                  1.2859426943213335E+000                  2.4682422299884279E+000                  0.0000000000000000E+000                  1.2044464124662960E+001                 -2.2907001366979203E+000                  6.1950392849666640E+000                  6.0942338518407013E-001                  8.6200468248553963E-001                  1.2646474040972304E+000                  7.2400000000000009E-001                  2.6397190508676327E-001                  2.0681300164716934E-003                  5.6283165870897253E-003                  2.0681300164716934E-003                  5.6283165870897245E-003                  2.8959999999999977E+000                  1.0558876203470537E+000                                        0                                        2 
                                       5                                      584                  7.4416000000000014E-005                 -4.6832750158095005E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999993888899996E-001                  3.3201853394149911E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999993888899996E-001                  3.3201853394149911E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.0148787412627890E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0148787412627890E+001                 -1.0148787412627890E+001                 -3.0868294752226006E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6877088913732741E+000                  2.2774148505834382E+000                  1.2859428034096685E+000                  2.4682420118117583E+000                  0.0000000000000000E+000                  1.2044464126514677E+001                 -2.2907001352825094E+000                  6.1950392854043033E+000                  6.0942338518384664E-001                  8.6200468248553963E-001                  1.2646474040972304E+000                  7.2400000000000009E-001                  2.6397190508676327E-001                  2.0681300164716934E-003                  5.6283165870897253E-003                  2.0681300164716934E-003                  5.6283165870897245E-003                  2.8959999999999977E+000                  1.0558876203470537E+000                                        0                                        2 
                                      10                                      584                  2.5958682111999997E-004                 -4.2873687855713758E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999993888899996E-001                  3.3201581305553840E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999993888899996E-001                  3.3201581305553840E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.0148787395971304E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0148787395971304E+001                 -1.0148787395971304E+001                 -3.0868294696596251E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6876953467698868E+000                  2.2773603860289597E+000                  1.2859426603392035E+000                  2.4682422979526883E+000                  0.0000000000000000E+000                  1.2044464131909791E+001                 -2.2907001311698822E+000                  6.1950392866900419E+000                  6.0942338518318651E-001                  8.6200468248553963E-001                  1.2646474040972304E+000                  7.2400000000000009E-001                  2.6397190508676327E-001                  2.0681300164716934E-003                  5.6283165870897253E-003                  2.0681300164716939E-003                  5.6283165870897262E-003                  2.8959999999999977E+000                  1.0558876203470537E+000                                        0                                        2 
                                      15                                      584                  7.2035107872931814E-004                 -3.8914625553332525E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999993888899996E-001                  3.3201019079969321E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999993888899996E-001                  3.3201019079969321E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.0148787354533113E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0148787354533113E+001                 -1.0148787354533113E+001                 -3.0868294558199207E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6876876310162388E+000                  2.2773292471973319E+000                  1.2859425224306864E+000                  2.4682425737697224E+000                  0.0000000000000000E+000                  1.2044464145332906E+001                 -2.2907001209374056E+000                  6.1950392898887827E+000                  6.0942338518154360E-001                  8.6200468248553963E-001                  1.2646474040972304E+000                  7.2400000000000009E-001                  2.6397190508676327E-001                  2.0681300164716934E-003                  5.6283165870897253E-003                  2.0681300164716934E-003                  5.6283165870897245E-003                  2.8959999999999977E+000                  1.0558876203470537E+000                                        0                                        2 
                                      20                                      584                  1.8668799962237366E-003                 -3.4955563250951283E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999993888899996E-001                  3.3200196163619668E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999993888899996E-001                  3.3200196163619668E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.0148787251417112E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0148787251417112E+001                 -1.0148787251417112E+001                 -3.0868294213804031E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6876832857281658E+000                  2.2773116092095260E+000                  1.2859423940129286E+000                  2.4682428306052380E+000                  0.0000000000000000E+000                  1.2044464178735220E+001                 -2.2907000954749615E+000                  6.1950392978487994E+000                  6.0942338517745509E-001                  8.6200468248553963E-001                  1.2646474040972304E+000                  7.2400000000000009E-001                  2.6397190508676327E-001                  2.0681300164716934E-003                  5.6283165870897253E-003                  2.0681300164716939E-003                  5.6283165870897262E-003                  2.8959999999999977E+000                  1.0558876203470537E+000                                        0                                        2 
                                      25                                      584                  4.7198108322034473E-003                 -3.0996500948570040E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999993888899996E-001                  3.3199276817523930E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999993888899996E-001                  3.3199276817523930E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.0148786994797810E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0148786994797810E+001                 -1.0148786994797810E+001                 -3.0868293356716915E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6876813732776554E+000                  2.2773037436472139E+000                  1.2859422861327927E+000                  2.4682430463655098E+000                  0.0000000000000000E+000                  1.2044464261858593E+001                 -2.2907000321115740E+000                  6.1950393176588534E+000                  6.0942338516727945E-001                  8.6200468248553963E-001                  1.2646474040972304E+000                  7.2400000000000009E-001                  2.6397190508676327E-001                  2.0681300164716934E-003                  5.6283165870897253E-003                  2.0681300164716934E-003                  5.6283165870897245E-003                  2.8959999999999977E+000                  1.0558876203470537E+000                                        0                                        2 
                                      30                                      584                  1.1818815689988481E-002                 -2.7037438646188803E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999993888899996E-001                  3.3198623665558424E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999993888899996E-001                  3.3198623665558424E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.0148786356129811E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0148786356129811E+001                 -1.0148786356129811E+001                 -3.0868291223595371E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6876807658841164E+000                  2.2773011085602803E+000                  1.2859421833764046E+000                  2.4682432518782860E+000                  0.0000000000000000E+000                  1.2044464468722278E+001                 -2.2906998744273164E+000                  6.1950393669626616E+000                  6.0942338514195316E-001                  8.6200468248553963E-001                  1.2646474040972304E+000                  7.2400000000000009E-001                  2.6397190508676327E-001                  2.0681300164716934E-003                  5.6283165870897253E-003                  2.0681300164716939E-003                  5.6283165870897262E-003                  2.8959999999999977E+000                  1.0558876203470537E+000                                        0                                        2 
                                      35                                      584                  2.9483411457712130E-002                 -2.3078376343807561E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999993888899996E-001                  3.3198587650203601E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999993888899996E-001                  3.3198587650203601E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.0148784766759375E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0148784766759375E+001                 -1.0148784766759375E+001                 -3.0868285915143328E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6876806367473640E+000                  2.2773002821754109E+000                  1.2859420284574747E+000                  2.4682435617161458E+000                  0.0000000000000000E+000                  1.2044464983500657E+001                 -2.2906994820370130E+000                  6.1950394896599317E+000                  6.0942338507892391E-001                  8.6200468248553963E-001                  1.2646474040972304E+000                  7.2400000000000009E-001                  2.6397190508676327E-001                  2.0681300164716934E-003                  5.6283165870897253E-003                  2.0681300164716934E-003                  5.6283165870897245E-003                  2.8959999999999977E+000                  1.0558876203470537E+000                                        0                                        2 
                                      40                                      584                  7.3438578398454232E-002                 -1.9119314041426323E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999993888899996E-001                  3.3199035511731444E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999993888899996E-001                  3.3199035511731444E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.0148780811551783E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0148780811551783E+001                 -1.0148780811551783E+001                 -3.0868272704816295E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6876806413270256E+000                  2.2772996283142892E+000                  1.2859416923675913E+000                  2.4682442338959127E+000                  0.0000000000000000E+000                  1.2044466264508666E+001                 -2.2906985055992060E+000                  6.1950397949988965E+000                  6.0942338492206749E-001                  8.6200468248553963E-001                  1.2646474040972304E+000                  7.2400000000000009E-001                  2.6397190508676327E-001                  2.0681300164716934E-003                  5.6283165870897253E-003                  2.0681300164716939E-003                  5.6283165870897262E-003                  2.8959999999999977E+000                  1.0558876203470537E+000                                        0                                        2 
